iter	MultiClass	AUC:class=0	AUC:class=1	AUC:class=2	AUC:class=3	AUC:class=4	AUC:class=5	AUC:class=6
0	-1.668967648	0.8234837061	0.8070078481	0.9664397712	0.9748842938	0.8882171221	0.9481311671	0.9340784934
1	-1.493764602	0.8316759407	0.8178184922	0.9704644084	0.9788756718	0.9029695077	0.9516991013	0.9483739947
2	-1.366868898	0.8366443819	0.8221417919	0.9727148268	0.9787081306	0.9117066382	0.9542790566	0.9564530634
3	-1.268289151	0.8387351797	0.8245366599	0.9732217768	0.9790605974	0.9103366104	0.9554658709	0.9578555479
4	-1.183592799	0.8488921196	0.8347064195	0.9738132494	0.9805145448	0.9132252806	0.9559710773	0.9664466502
5	-1.114362037	0.8535348667	0.8389394536	0.9746162822	0.9811010749	0.917126114	0.9567389609	0.967541349
6	-1.057261017	0.8563921773	0.8420206213	0.9746830153	0.9812421219	0.9189125953	0.9567038865	0.9690956892
7	-1.005776668	0.8585295175	0.8469920217	0.97578562	0.9818425779	0.9218679328	0.9585456779	0.9701455111
8	-0.9625746556	0.8599529957	0.8492636648	0.9767544418	0.9820109679	0.9221857688	0.960149972	0.9707237941
9	-0.9253338201	0.8607948479	0.8514977726	0.9771591521	0.9817745309	0.9230048189	0.9609314008	0.9705672823
10	-0.8876381737	0.8643332293	0.8549326495	0.978991077	0.9859098034	0.9240423186	0.9620754873	0.974083166
11	-0.8528682165	0.8668669621	0.8582946998	0.9803721335	0.9903283075	0.9299412236	0.9638873896	0.9770691369
12	-0.8239714235	0.8679476068	0.8601463128	0.9816537743	0.9916298233	0.9315122453	0.9650155279	0.9781648854
13	-0.7978563704	0.8697602955	0.8622185385	0.9821659356	0.991742651	0.9333963517	0.9658551374	0.9794478413
14	-0.7749972772	0.870830254	0.8634267308	0.983299344	0.9934032886	0.9347129492	0.966865928	0.9802185847
15	-0.7539603316	0.8733398554	0.8650662061	0.9834976112	0.9931608097	0.9344370039	0.9673254962	0.9820663895
16	-0.7353589362	0.8759160729	0.8665884647	0.9836963473	0.9929603977	0.9352277716	0.9675004804	0.9832751326
17	-0.718961507	0.8778679512	0.8678166576	0.9838310106	0.9928609418	0.9366974943	0.9676281258	0.9842216245
18	-0.7045099172	0.8786896032	0.8682684106	0.9839721996	0.9928442675	0.9397974751	0.9679727992	0.9845106309
19	-0.6913915362	0.8796577652	0.868306487	0.984510882	0.994407573	0.9404259181	0.9683629621	0.9851085633
20	-0.679391021	0.8804263967	0.8688266404	0.9847498131	0.9943259445	0.9419246915	0.9686480385	0.9855509558
