iter	Passed	Remaining
0	3361	1677402
1	6826	1699773
2	10121	1676846
3	13402	1661864
4	16771	1660370
5	20302	1671587
6	23964	1687794
7	27849	1712733
8	31857	1737994
9	35620	1745400
10	39371	1750247
11	43174	1755742
12	47092	1764148
13	51446	1785944
14	55280	1787410
15	59059	1786548
16	62868	1786202
17	66708	1786311
18	70518	1785232
19	74171	1780117
20	78008	1779340
21	81766	1776556
22	85599	1775255
23	89510	1775301
24	93343	1773522
25	97222	1772442
26	101156	1772105
27	104792	1766508
28	108240	1757970
29	111874	1752703
30	115277	1744039
31	118901	1738928
32	122546	1734216
33	126155	1729076
34	129814	1724679
35	133332	1718511
36	136983	1714150
37	140386	1706804
38	143825	1700088
39	147248	1693353
40	150823	1688492
41	154286	1682457
42	157897	1678115
43	161634	1675120
44	165124	1669591
45	168615	1664165
46	172024	1658024
47	175383	1651528
48	179143	1648849
49	182544	1642898
50	186144	1638803
51	189473	1632389
52	192893	1626852
53	196410	1622203
54	200048	1618570
55	203654	1614685
56	207204	1610382
57	210724	1605864
58	214127	1600513
59	217896	1597906
60	221192	1591862
61	224529	1586193
62	227899	1580826
63	231365	1576179
64	234819	1571481
65	238222	1566494
66	241754	1562381
67	245207	1557789
68	248529	1552409
69	252084	1548518
70	255704	1545031
71	259028	1539778
72	262365	1534656
73	265857	1530475
74	269323	1526166
75	272709	1521434
76	276086	1516684
77	279486	1512091
78	282854	1507362
79	286410	1503655
80	290302	1501689
81	293756	1497442
82	297059	1492454
83	300455	1487968
84	303801	1483267
85	307148	1478597
86	310529	1474124
87	313976	1469981
88	317400	1465747
89	320785	1461357
90	324155	1456918
91	327492	1452359
92	331001	1448576
93	334725	1445727
94	338413	1442712
95	341820	1438494
96	345152	1433985
97	348558	1429803
98	352180	1426509
99	355615	1422462
100	358950	1418033
101	362279	1413601
102	365715	1409602
103	369218	1405872
104	372839	1402587
105	376471	1399335
106	380331	1396918
107	384020	1393851
108	387345	1389469
109	390903	1385929
110	394410	1382212
111	397722	1377823
112	401159	1373883
113	404560	1369825
114	408278	1366846
115	411650	1362704
116	415107	1358857
117	418470	1354709
118	422026	1351194
119	425389	1347066
120	428721	1342855
121	432110	1338834
122	435684	1335390
123	439185	1331723
124	442506	1327520
125	446279	1324670
126	449687	1320734
127	453004	1316545
128	456399	1312590
129	459846	1308792
130	463244	1304863
131	466573	1300750
132	470011	1296947
133	473487	1293257
134	477224	1290272
135	480865	1287022
136	484325	1283286
137	488117	1280423
138	491439	1276329
139	494746	1272205
140	498150	1268339
141	501470	1264271
142	504870	1260411
143	508211	1256411
144	511930	1253346
145	515238	1249277
146	518669	1245511
147	522334	1242308
148	525976	1239045
149	529586	1235702
150	533181	1232319
151	536877	1229166
152	540504	1225849
153	544442	1223228
154	548160	1220098
155	551744	1216667
156	555225	1213007
157	558725	1209393
158	562078	1205463
159	565763	1202246
160	569289	1198690
161	572988	1195495
162	576289	1191469
163	579865	1188017
164	583307	1184290
165	587157	1181388
166	590765	1177994
167	594087	1174030
168	597465	1170183
169	601422	1167466
170	604980	1163968
171	608534	1160460
172	611859	1156519
173	615673	1153502
174	619058	1149680
175	622549	1146057
176	626012	1142384
177	629348	1138485
178	632697	1134613
179	636357	1131302
180	639804	1127611
181	643187	1123810
182	646549	1119978
183	650021	1116341
184	653587	1112864
185	656884	1108934
186	660494	1105533
187	663816	1101652
188	667133	1097769
189	670455	1093901
190	673718	1089942
191	677144	1086252
192	680793	1082919
193	684119	1079075
194	687722	1075669
195	691202	1072068
196	694724	1068536
197	698027	1064668
198	701471	1061020
